itemId,brand,model,color,storage,battery,images,review,amazon_price,amazon_url,flipkart_price,flipkart_url,lowest
1,samsung,samsung galaxy F22,black,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/71noFenlUTL._SX522_.jpg,4.3 of 5.0,"14,500",https://www.amazon.in/SAMSUNG-Galaxy-F22-Denim-Storage/dp/B09QYWCLFR/ref=sr_1_5?crid=3D3YM4L5R849U&keywords=samsung+f22&qid=1655826351&s=electronics&sprefix=samsung+f2%2Celectronics%2C301&sr=1-5,"13,999",https://www.flipkart.com/samsung-galaxy-f22-denim-black-64-gb/p/itm6f47a19cb79ae?pid=MOBG43UGC3PYCBZF&lid=LSTMOBG43UGC3PYCBZFSIRYTE&marketplace=FLIPKART&q=f22&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=aa4f9221-ecf2-4d27-b036-79f0ed8e8655.MOBG43UGC3PYCBZF.SEARCH&ppt=pp&ppn=pp&ssid=nesducbxio0000001655826507591&qH=186381290b21833e,flipkart
2,samsung,samsung galaxy F12,sky blue,4GB + 128GB,6000mAh,https://m.media-amazon.com/images/I/31SNteLugaL._SS200_.jpg,4.1 of 5.0,"10,999",https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B09J2V1G98/ref=sr_1_3?crid=1IB0UU5UWZ1ZG&keywords=samsung+f12&qid=1655826428&s=electronics&sprefix=samsung+f12%2Celectronics%2C436&sr=1-3,"12,499",https://www.flipkart.com/samsung-galaxy-f12-celestial-black-64-gb/p/itmaae10b8db3909?pid=MOBGFG79FUDPXZXQ&lid=LSTMOBGFG79FUDPXZXQH5PM6N&marketplace=FLIPKART&q=samsung+f12&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=f66ef893-a5f8-4158-9f9e-e288c354d9c1.MOBGFG79FUDPXZXQ.SEARCH&ppt=sp&ppn=sp&ssid=uy9g236fy80000001655826478142&qH=d4a7ea6df2945030,amazon
3,samsung,samsung galaxy S21,phantom violet,8GB + 128GB,4000mAh,https://m.media-amazon.com/images/I/41dC03innzL._SS200_.jpg,4.3 of 5.0,"57,999",https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B08LRCM9LQ/ref=sr_1_3?keywords=samsung%2Bs21&qid=1655826279&s=electronics&sr=1-3&th=1,"60,999",https://www.flipkart.com/samsung-galaxy-s21-phantom-violet-256-gb/p/itm4bb4abdd53994?pid=MOBFZ3TMHG3G3DZZ&lid=LSTMOBFZ3TMHG3G3DZZBDFOA1&marketplace=FLIPKART&q=s21&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=2e71e1fc-808d-4e35-8b99-6c9c504e0999.MOBFZ3TMHG3G3DZZ.SEARCH&ppt=pp&ppn=pp&ssid=28eive5lwg0000001655826250154&qH=c655c94ce843d593,amazon
4,samsung,samsung galaxy F42,matte aqua,6GB + 128GB,5000mAh,https://m.media-amazon.com/images/I/41cM6l89e6L._SS200_.jpg,4.2 of 5.0,"16,699",https://www.amazon.in/Samsung-Galaxy-Matte-Black-128GB/dp/B09QS6QCM4/ref=sr_1_3?crid=1K06DOMA4DDQN&keywords=samsung+f42&qid=1655825931&s=electronics&sprefix=samsung+f%2Celectronics%2C293&sr=1-3,"17,999",https://www.flipkart.com/samsung-galaxy-f42-5g-matte-black-128-gb/p/itm002c5dedfefc7?pid=MOBG6WRAQRERWUZG&lid=LSTMOBG6WRAQRERWUZGREV40A&marketplace=FLIPKART&q=samsung+f42&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=db809af1-c26a-4346-b98a-48cf6d78b612.MOBG6WRAQRERWUZG.SEARCH&ppt=pp&ppn=pp&ssid=igw8pgr6rk0000001655826060585&qH=0c4ed7ce7cc70881,amazon
5,samsung,samsung galaxy A73,gray,8GB + 128GB,5000mAh,https://m.media-amazon.com/images/I/51P1rt6p2EL._SS200_.jpg,4.2 of 5.0,"40,890",https://www.amazon.in/Samsung-Galaxy-A73-Awesome-Mint/dp/B09YNKD144/ref=sr_1_5?crid=1EID5IS9YJAX6&keywords=samsung%2Ba73&qid=1655825764&s=electronics&sprefix=samsung%2Bm%2Celectronics%2C893&sr=1-5&th=1,"41,999",https://www.flipkart.com/samsung-galaxy-a73-5g-awesome-gray-128-gb/p/itme86a836b24026?pid=MOBGCS4JSYRGZPZR&lid=LSTMOBGCS4JSYRGZPZRFZ6VLO&marketplace=FLIPKART&q=samsung+a73&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=2b869a65-ae61-4418-aa60-1b8bebda6b08.MOBGCS4JSYRGZPZR.SEARCH&ppt=sp&ppn=sp&ssid=brx6p1yds00000001655825855409&qH=7958a1d0672ff659,amazon
6,samsung,samsung galaxy M52,icy blue,6GB + 128GB,5000mAh,https://m.media-amazon.com/images/I/81-tqKsrTuL._AC_UY218_.jpg,3.8 of 5.0,"25,500",https://www.amazon.in/Renewed-Samsung-Storage-Snapdragon-sAMOLED/dp/B09NMF2592/ref=sr_1_4?crid=35G1OOYP2JD73&keywords=samsung+m52&qid=1655825722&s=electronics&sprefix=samsung+m5%2Celectronics%2C343&sr=1-4,"26,500",https://www.flipkart.com/samsung-galaxy-m52-5g-icy-blue-128-gb/p/itmc11e28acf5474?pid=MOBG7H8ZMGBH4Q8F&lid=LSTMOBG7H8ZMGBH4Q8FVRUPPV&marketplace=FLIPKART&q=samsung+m52&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84255e74-6f7a-41df-871a-ec738cfbb45f.MOBG7H8ZMGBH4Q8F.SEARCH&ppt=sp&ppn=sp&ssid=s1wclpwpsg0000001655825662222&qH=ebb2ad1897d4e2c2,amazon
7,samsung,samsung galaxy S20 FE,cloud NAVY,8GB + 128GB,4500mAh,https://m.media-amazon.com/images/I/81vDZyJQ-4L._AC_UY218_.jpg,4.5 of 5.0,"36,990",https://www.amazon.in/dp/B08VB57558/ref=redir_mobile_desktop?_encoding=UTF8&aaxitk=5826c027c2b4a09ad833fccd617d8a8c&content-id=amzn1.sym.c679a10e-5f33-4f2e-b014-f92eed44a58f%3Aamzn1.sym.c679a10e-5f33-4f2e-b014-f92eed44a58f&hsa_cr_id=7231945600902&pd_rd_plhdr=t&pd_rd_r=017e864a-ce56-497f-8c89-364390bb890b&pd_rd_w=IPfHA&pd_rd_wg=ON799&qid=1655825440&ref_=sbx_be_s_sparkle_mcd_asin_0_img&sr=1-1-fd947bf3-57d2-4cc9-939d-2805f92cef28&th=1,"34,849",https://www.flipkart.com/samsung-s20-fe-5g-cloud-navy-128-gb/p/itm7e60663e03f3f?pid=MOBG47FEDRWHUCKF&lid=LSTMOBG47FEDRWHUCKFLNL91G&marketplace=FLIPKART&q=samsung+s20fe&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=a189987a-7c68-491d-a8a6-ba0d9cce79e0.MOBG47FEDRWHUCKF.SEARCH&ssid=t72mgph3c00000001655825586148&qH=8276f681ac78eed5,flipkart
8,apple,iphone 12,blue ,6GB + 128GB,2800mAh,https://m.media-amazon.com/images/I/71ZOtNdaZCL._SX679_.jpg,4.6 of 5.0,"58,999",https://www.amazon.in/New-Apple-iPhone-12-128GB/dp/B08L5TNJHG/ref=sr_1_1_sspa?keywords=apple+mobiles&qid=1655827227&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyUjcwUFJWQkxPOEZaJmVuY3J5cHRlZElkPUEwNzI4NjA2QUE4MEM2UlVUVEgmZW5jcnlwdGVkQWRJZD1BMDc3MTg3MDJQUTlRQlcxNVhYS0kmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,"58,999",https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VGE9ZTO4&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_na&fm=organic&iid=111fe5ed-642f-4ea1-9804-49f2171707f6.MOBFWBYZKPTZF9VG.SEARCH&ppt=hp&ppn=homepage&ssid=gzwvpbovqo0000001655828229243&qH=7b7504afcaf2e1ea,amazon
9,apple,iphone 13 mini,red,6GB + 128GB,2400mAh,https://m.media-amazon.com/images/I/61F7Xcyux0L._SX679_.jpg,4.7 of 5.0,"65,299",https://www.amazon.in/Apple-iPhone-13-Mini-128GB/dp/B09G99WQVX/ref=sr_1_2_sspa?keywords=apple%2Bmobiles&qid=1655827227&sr=8-2-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyUjcwUFJWQkxPOEZaJmVuY3J5cHRlZElkPUEwNzI4NjA2QUE4MEM2UlVUVEgmZW5jcnlwdGVkQWRJZD1BMTAzMzQzNDJJTFZISllHRVRQWDEmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1,"65,299",https://www.flipkart.com/search?q=iphone+13+mini+red&sid=tyy%2C4io&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&as-pos=1&as-type=RECENT&suggestionId=iphone+13+mini+red%7CMobiles&requestId=e5489ff5-fabd-4045-8775-2af155112582&as-searchtext=iphone%2013mini%20red,amazon
10,apple,iphone 13 pro,blue ,6GB + 128GB,3000mAh,https://m.media-amazon.com/images/I/61jLiCovxVL._SX679_.jpg,4.5 of 5.0,"1,19,900",https://www.amazon.in/Apple-iPhone-13-Pro-128GB/dp/B09G99YPQM/ref=sr_1_1_sspa?crid=1MCECKXD4AJ2G&keywords=apple+13+pro&qid=1655828972&sprefix=apple+13+pro+%2Caps%2C412&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTkoxQzFRVVJZVTZWJmVuY3J5cHRlZElkPUEwMjU2NjYzMk9SSFlVME8wUkY4QiZlbmNyeXB0ZWRBZElkPUEwMzk3MTM1WU9VRTJFSVU2SldLJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"1,19,900",https://www.flipkart.com/apple-iphone-13-pro-sierra-blue-128-gb/p/itmc6c1bb3dfb499?pid=MOBG6VF52HRFWPZD&lid=LSTMOBG6VF52HRFWPZD5M2YGY&marketplace=FLIPKART&q=iphone+13+pro+blue&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&fm=search-autosuggest&iid=15dfa98b-a64a-448b-874f-b1ca381919e5.MOBG6VF52HRFWPZD.SEARCH&ppt=sp&ppn=sp&ssid=82uvl1q97k0000001655829245378&qH=84d88100e2d28c67,amazon
11,apple,iphone 13 pro max,blue ,6GB+256GB,4300mAh,https://images-eu.ssl-images-amazon.com/images/I/31jgoap1cQL._SY445_SX342_QL70_FMwebp_.jpg,4.8 of 5.0,"1,37,900",https://www.amazon.in/Apple-iPhone-Pro-Max-256GB/dp/B09G91FCBT/ref=sr_1_1_sspa?crid=2G07XKTS6C6CX&keywords=apple%2B13%2Bpro%2Bmax&qid=1655829377&sprefix=apple%2B13%2Bpro%2Bmax%2Caps%2C756&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExOVlXVkE3RjdOMFhLJmVuY3J5cHRlZElkPUEwODMwNjU4M0xYRDA1QzRNNk9GUyZlbmNyeXB0ZWRBZElkPUEwNTEzODM3R0ZaUk5JUk5ISjNHJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ&th=1,"1,39,900",https://www.flipkart.com/apple-iphone-13-pro-max-sierra-blue-256-gb/p/itmcb824a3301158?pid=MOBG6VF5Y3PWSVWG&lid=LSTMOBG6VF5Y3PWSVWGX8XHG1&marketplace=FLIPKART&q=iphone+13+pro+max+blue&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=search-autosuggest&iid=3d33891f-1092-425b-9014-a3d0ba274a0e.MOBG6VF5Y3PWSVWG.SEARCH&ppt=sp&ppn=sp&ssid=ysf4ni41y80000001655829678258&qH=9a32f1df39e6e6b9,amazon
12,apple,iphone SE,white,4GB + 128GB,1800mAh,https://m.media-amazon.com/images/I/61-MT8AQAPL._SX679_.jpg,3.9 of 5.0,"46,990",https://www.amazon.in/Apple-iPhone-128-Starlight-Generation/dp/B09V44M2JC/ref=sr_1_15?crid=3LYVVPRWYVSBH&keywords=apple%2Bphones&qid=1655829866&sprefix=apple%2Bphones%2Caps%2C376&sr=8-15&th=1,"41,000",https://www.flipkart.com/apple-iphone-se-3rd-gen-starlight-256-gb/p/itmea15baf6bc2da?pid=MOBGC9K3UHG86FDG&lid=LSTMOBGC9K3UHG86FDGUHI0FI&marketplace=FLIPKART&q=iphone+SE+&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=83096a1a-a1b1-49af-a21b-1661f10011b0.MOBGC9K3UHG86FDG.SEARCH&ppt=sp&ppn=sp&ssid=qpqlsbzrr40000001655830186534&qH=29d040897fbc0aaa,flipkart
